quadrat,square,x,y,block,strip,density,cc,Cotyledons,2.5cm,5cm,10cm,15cm,20cm,25cm,counter
218,"3,5",3,5,2,21,5000,hdshoots,1,0,0,2,0,0,0,Laurel Wellman
218,"3,6",3,6,2,21,5000,hdshoots,2,2,0,1,0,0,0,Laurel Wellman
218,"4,4",4,4,2,21,5000,hdshoots,0,1,0,1,0,0,0,Laurel Wellman
218,"4,5",4,5,2,21,5000,hdshoots,0,2,1,0,0,0,0,Laurel Wellman
218,"4,6",4,6,2,21,5000,hdshoots,1,1,0,0,0,0,0,Laurel Wellman
221,"1,4",1,4,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"1,5",1,5,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"1,6",1,6,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"2,4",2,4,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"2,5",2,5,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"2,6",2,6,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"3,4",3,4,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"3,5",3,5,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"3,6",3,6,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"4,4",4,4,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"4,5",4,5,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
221,"4,6",4,6,2,22,50,ldshoots,0,0,0,0,0,0,0,Grant Hoffer
